gamma,log_neg_analytic,Q_degradable_analytic_LB_on_K2way
0.6487,0.4343458654,0.0000000000
0.6497,0.4332799706,0.0000000000
0.6507,0.4322132876,0.0000000000
0.6517,0.4311458154,0.0000000000
0.6527,0.4300775528,0.0000000000
0.6537,0.4290084985,0.0000000000
0.6547,0.4279386515,0.0000000000
0.6557,0.4268680106,0.0000000000
0.6567,0.4257965745,0.0000000000
0.6577,0.4247243422,0.0000000000
0.6587,0.4236513123,0.0000000000
0.6597,0.4225774837,0.0000000000
0.6607,0.4215028553,0.0000000000
0.6617,0.4204274259,0.0000000000
0.6627,0.4193511941,0.0000000000
0.6637,0.4182741589,0.0000000000
0.6647,0.4171963191,0.0000000000
0.6657,0.4161176734,0.0000000000
0.6667,0.4150382206,0.0000000000
0.6677,0.4139579596,0.0000000000
0.6687,0.4128768891,0.0000000000
0.6697,0.4117950079,0.0000000000
0.6707,0.4107123147,0.0000000000
0.6717,0.4096288085,0.0000000000
0.6727,0.4085444878,0.0000000000
0.6737,0.4074593516,0.0000000000
0.6746,0.4063733986,0.0000000000
0.6756,0.4052866276,0.0000000000
0.6766,0.4041990372,0.0000000000
0.6776,0.4031106264,0.0000000000
0.6786,0.4020213938,0.0000000000
0.6796,0.4009313382,0.0000000000
0.6806,0.3998404584,0.0000000000
0.6816,0.3987487531,0.0000000000
0.6826,0.3976562211,0.0000000000
0.6836,0.3965628611,0.0000000000
0.6846,0.3954686718,0.0000000000
0.6856,0.3943736521,0.0000000000
0.6866,0.3932778006,0.0000000000
0.6876,0.3921811160,0.0000000000
0.6886,0.3910835972,0.0000000000
0.6896,0.3899852428,0.0000000000
0.6906,0.3888860515,0.0000000000
0.6916,0.3877860222,0.0000000000
0.6926,0.3866851534,0.0000000000
0.6936,0.3855834440,0.0000000000
0.6946,0.3844808926,0.0000000000
0.6956,0.3833774980,0.0000000000
0.6966,0.3822732588,0.0000000000
0.6976,0.3811681738,0.0000000000
0.6986,0.3800622417,0.0000000000
0.6996,0.3789554611,0.0000000000
0.7006,0.3778478309,0.0000000000
0.7016,0.3767393495,0.0000000000
0.7026,0.3756300158,0.0000000000
0.7036,0.3745198285,0.0000000000
0.7046,0.3734087862,0.0000000000
0.7056,0.3722968876,0.0000000000
0.7066,0.3711841314,0.0000000000
0.7076,0.3700705163,0.0000000000
0.7086,0.3689560409,0.0000000000
0.7096,0.3678407039,0.0000000000
0.7106,0.3667245039,0.0000000000
0.7116,0.3656074398,0.0000000000
0.7126,0.3644895100,0.0000000000
0.7136,0.3633707132,0.0000000000
0.7146,0.3622510482,0.0000000000
0.7156,0.3611305135,0.0000000000
0.7166,0.3600091079,0.0000000000
0.7176,0.3588868299,0.0000000000
0.7186,0.3577636782,0.0000000000
0.7196,0.3566396514,0.0000000000
0.7206,0.3555147482,0.0000000000
0.7216,0.3543889672,0.0000000000
0.7226,0.3532623071,0.0000000000
