noise_param,dephase_log_neg,dephase_K_D_PLOB,dephase_gap_bits,depol_log_neg,depol_E_R,depol_gap_bits
0.0570,0.9153296760,0.6845809111,0.2307487650,0.9369676602,0.6774810627,0.2594865975
0.0580,0.9137989650,0.6805460342,0.2332529308,0.9358368737,0.6729385266,0.2628983471
0.0590,0.9122666281,0.6765375641,0.2357290639,0.9347052002,0.6684154954,0.2662897048
0.0600,0.9107326619,0.6725550808,0.2381775811,0.9335726383,0.6639116535,0.2696609847
0.0610,0.9091970630,0.6685981784,0.2405988846,0.9324391866,0.6594266959,0.2730124906
0.0620,0.9076598279,0.6646664641,0.2429933637,0.9313048437,0.6549603276,0.2763445160
0.0630,0.9061209530,0.6607595582,0.2453613948,0.9301696082,0.6505122631,0.2796573451
0.0640,0.9045804349,0.6568770929,0.2477033421,0.9290334786,0.6460822260,0.2829512526
0.0650,0.9030382701,0.6530187119,0.2500195582,0.9278964537,0.6416699486,0.2862265051
0.0660,0.9014944550,0.6491840701,0.2523103849,0.9267585320,0.6372751715,0.2894833605
0.0670,0.8999489862,0.6453728328,0.2545761534,0.9256197120,0.6328976430,0.2927220690
0.0680,0.8984018600,0.6415846754,0.2568171846,0.9244799924,0.6285371191,0.2959428732
0.0690,0.8968530729,0.6378192827,0.2590337902,0.9233393716,0.6241933631,0.2991460086
0.0700,0.8953026213,0.6340763491,0.2612262722,0.9221978484,0.6198661448,0.3023317036
0.0710,0.8937505017,0.6303555774,0.2633949243,0.9210554212,0.6155552410,0.3055001802
0.0720,0.8921967105,0.6266566789,0.2655400315,0.9199120887,0.6112604346,0.3086516541
0.0730,0.8906412440,0.6229793732,0.2676618708,0.9187678493,0.6069815146,0.3117863347
0.0740,0.8890840986,0.6193233873,0.2697607113,0.9176227017,0.6027182758,0.3149044260
0.0750,0.8875252707,0.6156884559,0.2718368149,0.9164766444,0.5984705185,0.3180061259
0.0760,0.8859647568,0.6120743206,0.2738904361,0.9153296760,0.5942380485,0.3210916275
0.0770,0.8844025530,0.6084807301,0.2759218229,0.9141817950,0.5900206766,0.3241611184
0.0780,0.8828386558,0.6049074395,0.2779312163,0.9130330000,0.5858182186,0.3272147813
0.0790,0.8812730614,0.6013542102,0.2799188512,0.9118832894,0.5816304950,0.3302527944
0.0800,0.8797057663,0.5978208098,0.2818849565,0.9107326619,0.5774573308,0.3332753311
0.0810,0.8781367666,0.5943070117,0.2838297549,0.9095811160,0.5732985556,0.3362825604
0.0820,0.8765660588,0.5908125950,0.2857534638,0.9084286502,0.5691540030,0.3392746472
0.0830,0.8749936389,0.5873373441,0.2876562949,0.9072752630,0.5650235108,0.3422517522
0.0840,0.8734195034,0.5838810487,0.2895384547,0.9061209530,0.5609069207,0.3452140323
0.0850,0.8718436485,0.5804435038,0.2914001447,0.9049657187,0.5568040781,0.3481616405
0.0860,0.8702660704,0.5770245088,0.2932415616,0.9038095586,0.5527148324,0.3510947262
0.0870,0.8686867653,0.5736238681,0.2950628972,0.9026524712,0.5486390360,0.3540134352
0.0880,0.8671057295,0.5702413907,0.2968643388,0.9014944550,0.5445765451,0.3569179100
